wfonocorr;Water Flux into Sea Water Without Flux Correction;water_flux_into_sea_water_without_flux_correction;computed as the water  flux (without flux correction) into the ocean divided by the area of the ocean portion of the grid cell.;[['CMIP5_Omon']]
tasmax;Daily Maximum Near-Surface Air Temperature;air_temperature;maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute time: max);[['CCMI1_daily']]
tasmin;Daily Minimum Near-Surface Air Temperature;air_temperature;minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute time: min);[['CCMI1_daily']]
vas;Northward Near-Surface Wind Speed;northward_wind;This is sampled synoptically.;[['CMIP5_3hr']]
abs550aer;Ambient Aerosol Absorption Optical Thickness at 550 nm;atmosphere_absorption_optical_thickness_due_to_ambient_aerosol;;[['CCMI1_monthly']]
cltisccp;ISCCP Total Total Cloud Fraction;cloud_area_fraction;unset;[['CMIP5_cfDay', 'CMIP5_cfMon']]
evu;Eddy Viscosity Coefficient for Momentum Variables;atmosphere_momentum_diffusivity;unset;[['CMIP5_cfSites']]
ch3cclf2smtbrdn;Tendency of Middle Atmosphere Burden of CH3CClF2;unset;total yearly averaged stratospheric and mesospheric loss;[['CCMI1_annual']]
ta70;Air Temperature at 70 hPa;air_temperature;Temperature on the 70 hPa surface;[['CCMI1_daily']]
zos;Sea Surface Height Above Geoid;sea_surface_height_above_geoid;unset;[['CMIP5_Omon']]
huss;Near-Surface Specific Humidity;specific_humidity;unset;[['CMIP5_Amon', 'CMIP5_cf3hr', 'CMIP5_cfSites', 'CMIP5_day']]
tnsclibl;Tendency of Mass Fraction of Stratiform Cloud Ice In Air Due To Boundary Layer Mixing;tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_boundary_layer_mixing;unset;[['CMIP5_cfMon']]
bddtdip;Rate of Change of Dissolved Phosphate due to Biological Activity;tendency_of_mole_concentration_of_dissolved_inorganic_phosphate_in_sea_water_due_to_biological_processes;Net of biological terms in time rate of change of dissolved phosphate;[['CMIP5_Oyr']]
va1000;Northward Wind at 1000 hPa;northward_wind;Meridional wind on the 1000 hPa surface;[['CCMI1_daily']]
fbddtdic;Rate of Change of Dissolved Inorganic Carbon due to Biological Activity;tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon_due_to_biological_processes;vertical integral of net biological terms in time rate of change of dissolved inorganic carbon;[['CMIP5_Omon']]
zos;Sea surface height above geoid;sea_surface_height_above_geoid;unset;[['SPECS_Omon']]
sootsn;Snow Soot Content;soot_content_of_surface_snow;the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.;[['CMIP5_LImon']]
